,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,"Bonaire, Saint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,North Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Micronesia (Federated States of),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Iran,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Macedonia (Republic of),Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mexico,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norway,Occupied Palestinian Territory,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Bolivia,Poland,Portugal,Qatar,Cameroon,South Korea,Moldova,South Sudan,Sudan,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Lucia,Sint Maarten (Dutch part),Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Saint Kitts and Nevis,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,Tanzania,USA,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Wallis and Futuna Islands,Yemen,Zambia,Zimbabwe,KP Annex B,Non KP Annex B,OECD,Non-OECD,EU28,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America
2003,,1.5064221306132923,,,,,,31.20316352639634,1.2033695910585978,,90.6661547455079,27.2684598729446,9.217663309175428,,3.272358588590056,13.247590510854291,,16.834720620864058,53.32571842293883,,1.0420657540107834,,,,,3.9370566381241536,83.95778618432028,,1.2780561417577891,12.625148037979638,0.5335445334404701,,1.305762641200581,149.6414947194845,,,,,15.075257155614693,1121.1628122914465,16.46143212849116,,,,3.0583670635760996,1.9608612030694266,7.359315237092355,,,2.7191097117056784,31.77175815867812,,,18.655503483433407,,,5.566830863199905,8.255614536107917,38.198354580287806,2.495877997052269,,,5.569832221944323,1.8897425048467948,,,,,24.073099937497847,143.2536541701078,,,,,1.5089118653730047,290.94535176867055,2.932310840800753,,26.980097391459402,,,,3.740338195647142,0.36599999999999994,,,,2.4212700006576107,27.069717749899223,22.262621207244443,,278.7797539419225,80.41492035802429,,17.22393333959516,111.71549899909053,21.078069906220612,159.03172500581184,2.6691792398794005,414.2405427965825,6.081148609630209,34.887979585981356,2.630378512319765,,14.443366524226205,1.6894362581037714,0.47171726750909376,3.9060856497102416,,,,,,5.73611675189523,2.9734967854762955,,,0.8106725756055352,0.5541709487240694,37.49202433752758,,,1.3654140661655372,,,,1.258081314428318,120.610706838334,2.268574889303188,,,11.562538959152324,1.2042521180677241,,1.218226242954512,,1.3997419802905522,53.75091965241173,,10.379738191285345,1.5553936942007602,,20.67483949365173,,12.252226918618812,,7.849925674326703,33.593799317685075,,0.06677959059375937,,1.335846032715643,8.067335681202573,25.12297239056716,3.401922565407304,77.1251683438004,21.377034619175408,7.055332887826601,1.4893293034740236,141.1904152276714,,,,,25.740279035869932,334.43292097545856,0.14200000000000002,,,,,,82.68366876924199,1.5998411574557843,,,,28.960493978721903,12.088536397113465,5.041817599423258,,,76.4469912371299,98.9090456808621,4.5351620606392515,,,,,,23.4748451106311,29.12949868945876,,68.96375282635539,,54.26185468285482,,0.634886288741765,,3.8780642304799087,5.671748288207472,69.30782183480989,,,0.8135246111055727,59.508535780302886,36.70044470910166,193.56445891093227,1.7402751652824733,1740.9520195064729,1.77664816574726,,,38.158876439324466,23.42164766501808,,,1.1134403796369357,2.7875209725233985,4206.240777386142,3112.246978643935,4123.1910246102125,3194.2931091495943,1368.118546570571,231.87643490669245,2473.4916843540163,42.856204092159594,1844.4752187481383,399.43157246508815,2013.7627102965318,103.74789983815006,208.8403344970615
2004,,1.453613063777175,,,,,,36.61114103006332,1.222160332112247,,94.92478016319026,28.10911338357224,9.885967593993618,,3.2302178928754,13.637753350874693,,17.793995763811164,59.61826058546662,,1.001196724986328,,,,,2.6977676435482802,87.43068089573009,,1.218221845031579,12.382602758166689,0.6008697121361045,,1.3805857952977223,155.1331509117901,,,,,15.781773262923178,1255.4844408324136,16.106065840555043,,,,3.2419893899470287,2.151229127971506,7.283424999463015,,,2.4930103200526617,29.520855606473564,,,19.204905622181556,,,4.881533473121792,8.707521579689384,36.115705748081346,2.449964939298316,,,4.989446635545565,1.9020448329030932,,,,,25.125304703450585,151.056193367609,,,,,1.773960987826212,294.08953059556063,3.271495542060549,,26.447322387296754,,,,3.9203861859909335,0.36599999999999994,,,,2.424945983812085,25.21510973612406,21.367615294010037,,295.2211316618236,84.98052602834221,,18.33430405556574,117.42767195456106,20.220711464280008,166.20923232467325,2.634790756709701,418.177577202847,6.890858010669413,35.86814663283791,2.9660670213002396,,14.996947943890383,1.877153836994901,0.542088222010645,3.86734079512289,,,,,,5.675297939419858,3.656930989331612,,,0.6840740036685775,0.5389555822180325,39.37697691455469,,,0.9152261848961735,,,,1.3080788943645996,120.21089784344261,2.2955750931426153,,,13.104902000169886,1.1681381384094551,,1.536547931779519,,1.1863316267073973,54.38947513673259,,10.9425647921633,1.537680604819548,,22.93640401099078,,12.041172490979429,,6.599402376912981,37.80778459842225,,0.21780866407998348,,1.4411349006088245,9.055653825327688,25.049790247692552,3.0276484703892224,78.35111685797003,22.494418850035647,6.968248897729371,1.45316977694252,146.0061702155406,,,,,26.425505109137003,338.5517607664724,0.14400000000000002,,,,,,95.92015506224735,1.6583834907612756,,,,30.64791044936368,12.10534767001663,5.026607251500371,,,88.34959037261036,107.59803984660911,4.858340790018838,,,,,,24.110727777529874,29.32932285386363,,79.06868194537405,,61.2666658554166,,0.6385671109784047,,3.805198059601091,5.899309381418086,76.97279758455664,,,0.8553505300686458,57.88010391440319,41.65508311769063,200.8273901708375,1.9011214832973964,1803.2523871422313,2.078941996377589,,,30.903820898972803,26.48968038048505,,,1.065207349312269,2.651679908668045,4329.554365797377,3356.6862661226237,4255.6254450397755,3429.559952034066,1411.6745472182274,246.76763279465555,2666.683848044542,40.9551411393011,1894.005379853976,437.7979405461117,2079.2694451212224,108.47757696819258,212.2816674520007
2005,,1.6056565727076053,,,,,,38.92060936358658,1.512089732079661,,94.71548558601829,28.761132243523335,9.542050801971536,,3.768814676785641,14.143351473321067,,16.548345011968234,58.845419082076226,,1.355356473814225,,,,,2.4263479026948964,92.84288029820814,,1.2202853770811568,12.99350331250895,0.4212833802703523,,1.7285342147158476,158.6380816585897,,,,,17.06965371232113,1400.661441391332,18.202821838684375,,,,3.555045074674055,2.4133414344272754,7.76427441952681,,,2.641048345255669,29.30310779137204,,,18.587276686672492,,,5.617450848178374,9.13314235728413,42.339659461633865,2.449930428110132,,,5.104469805010231,2.1520936620144866,,,,,22.908489058810275,150.8645226359401,,,,,2.0586071066852267,289.7797813963418,3.394972588615922,,26.817586373563508,,,,4.363970134980684,0.32199999999999995,,,,2.609501809894794,28.747516437689796,21.4856533352699,,309.5584586316867,87.00835323372813,,19.404479354560777,120.2004217331086,20.04962244636773,166.07229005045264,2.7931470660229003,423.96046266531806,7.610547195534423,40.255179920210914,3.4157671127203972,,16.380442564509025,2.2631984885593863,0.5523081833048311,3.5357547549478894,,,,,,5.8599621028295115,4.098341236352419,,,0.8929434685623164,0.563623790455435,41.86101651877187,,,1.24948853844395,,,,1.2470428680915482,132.03741784676413,2.4084431687567207,,,14.120598836864975,1.3373857235049071,,1.5201815763338664,,1.2716962152868196,55.24474059063807,,11.631603876928944,1.5772282598565628,,25.165332264190535,,12.518434075081815,,7.029900352204115,41.27248095794474,,-0.2792379723402634,,1.4316070746569094,10.291327130562012,26.1701464040321,2.8024954619112767,78.70871236897274,23.749930513987852,8.841360113520958,1.5129318129155298,152.81830016209912,,,,,27.414267139620396,346.6788180388008,0.14400000000000002,,,,,,97.21259603176837,1.8908518042942721,,,,38.871866279277185,12.32958642462775,5.241004391805761,,,82.96584995241325,114.66168781841222,5.240896666986544,,,,,,23.732508555522383,29.863584687984957,,77.71602936934231,,64.96640885601943,,0.8332151267478023,,2.9246780677062754,5.732383734010733,86.09779966028661,,,1.001506611869033,66.99478886395131,46.919022906537265,198.34990198881462,2.2694338077934595,1815.868515768624,2.253156234046445,,,33.14094615981149,28.668325037392318,,,1.1213307711650213,2.8158141540475885,4373.693531293834,3621.2227695646857,4309.319583849112,3684.391344369032,1415.5089203158607,257.5689147860363,2871.4805046206034,43.84308639260408,1915.5876920168052,462.64685685363975,2107.179626781202,109.30237704641445,227.2940413912196
2006,,1.51623446418227,,,,,,43.28836552722716,1.5229697677846177,,99.35124045815937,29.293441365190887,11.06511726837508,,3.3758134380876874,15.095090251593343,,18.605266314208773,61.72402875508634,,1.8710636985696827,,,,,2.2798119063388422,95.8915679989348,,1.3120881740163735,14.045830136275763,0.4830802638647747,,1.92560628393623,155.98235499082026,,,,,18.21084590173907,1488.1063364771062,19.605697156923195,,,,3.103419540556933,2.3879421307330557,8.6726193908175,,,2.5762601195568577,32.256121897575866,,,20.430211817150774,,,5.803878810806425,9.237395876619729,44.43397392645783,2.5503953187533654,,,5.357627851787455,2.3822084410117608,,,,,26.408589909209645,148.4077755674778,,,,,2.4246925430620005,298.1476294732909,3.8275459194519534,,28.07823594787491,,,,4.568452522010772,0.32199999999999995,,,,2.482600910583352,29.840172473054427,22.97328383663748,,336.5031002712646,90.2874993579077,,19.341679230069193,129.26150026211263,21.348149129990816,172.9635213625206,3.1794690474995533,417.52109339725246,7.370314290591881,48.42630654981465,3.9075353822004737,,17.407511531521443,3.0689847070800735,0.7328295009536744,4.156971745946791,,,,,,6.681615133094162,4.955047688224317,,,0.7650365937076524,0.5624109878514448,42.12340375083107,,,1.4488723296367942,,,,1.3640130034644617,135.99082288830147,2.741058965151868,,,14.816339734608897,1.699579551408063,,1.5775927174732027,,1.1877366973401629,61.15691556864522,,11.047488631346345,1.6356582718168209,,19.173525962163822,,13.39645342388566,,9.757680614763084,43.57532379294439,,-0.3145091687867193,,1.5578182643009266,9.994398387038045,24.15387809814565,3.3904370243421855,83.42040596520292,22.342545021585646,10.014644950558054,1.563685820151965,162.55839959594354,,,,,31.419976620681414,351.7423626055788,0.14400000000000002,,,,,,108.72275487351581,1.696924472813425,,,,45.89224261941521,13.239357775580041,5.70818347695224,,,90.06108500216946,118.44862026246213,5.0859803624970095,,,,,,24.38699511072832,29.605563413268065,,78.27836474578112,,64.52362621216113,,0.8959620940604112,,1.0602600155235253,6.002967901798828,92.35721776703005,,,1.2100966895640266,69.72539105844427,48.66435758660224,203.49437276716102,2.6249692205821664,1822.9544619099238,2.440926488407699,,,32.273058720770884,31.15245815335883,,,1.315296469105105,2.8949952696487697,4440.1298148638,3831.8349018594076,4382.858682158075,3887.814233267242,1471.5367361264227,268.0171317204779,3018.147305087037,43.74580060931305,1978.030082322007,497.51829363066,2115.739621235971,113.51295164013194,237.24117961528708
2007,,1.5175498733314952,,,,,,45.08281856118926,2.0811863047980204,,103.4981933843781,27.971525476438163,8.747749821559822,,4.573610640674731,16.088925853449876,,19.305906979562156,62.623656223859605,,1.8963304616142602,,,,,2.8899897819707547,103.4336326933614,,1.9336201477497048,14.416323858446493,0.6110355116225199,,2.095521827406973,165.56587327169495,,,,,19.332654305775904,1631.2546491663488,20.217872768838077,,,,3.4909344339459665,2.2406783846301144,8.525665241580834,,,2.9244413780031766,33.747981313832675,,,19.492815101187812,,,6.503908039445589,10.175742882514871,47.7701467908477,2.570480790848241,,,5.57611279797396,2.460659452250576,,,,,26.390600377766415,154.95387072343325,,,,,2.5985650573055143,284.26539949045286,4.153692747424424,,27.526966514212667,,,,4.545205572238042,0.32999999999999985,,,,2.8956856523650947,24.740442590506223,22.492522325449244,,364.5418579836864,99.11927742650309,,19.118882549294096,147.0750531187304,21.66713087049295,170.8762855624249,2.809295825326825,420.65141061213075,7.366267617590274,50.42368233465498,4.082488394585114,,19.247588984728985,1.916045703022539,0.6282938818518136,4.52131181796959,,,,,,6.949459272835821,2.9779617432928216,,,0.8671303692836129,0.5475213264905227,44.99164531526676,,,0.9811430389610443,,,,1.3204156744266857,131.97422806244555,3.32094779727939,,,15.433714811812887,2.049372637424197,,1.8070524934224204,,1.2922774267863726,50.193789149317055,,11.305588360346514,1.696837512633329,,23.843977579553215,,14.793878499352022,,10.709793095502281,46.181664782331836,,0.33761222328258744,,1.6655482258913492,11.753662604026442,25.600593417432044,2.8908669047425026,86.60309719190784,20.827660434062118,10.953265110527363,1.807891538247264,168.833602608817,,,,,29.366730161481673,373.0479514137567,0.152,,,,,,100.04385853526632,1.8388875349267952,,,,28.443575961604562,13.449855799579016,5.824699038564746,,,91.07284713107764,121.77411518297133,5.071250144204054,,,,,,25.061244045911355,31.41148384769464,,81.15707980564791,,64.57286478315417,,1.323447051281767,,3.1260527172020374,5.985776869420812,104.21923855765654,,,1.2575477208807775,74.87154183005529,58.43564337316062,206.9882230417436,2.5641194654258377,1833.6216177997655,2.404135323701772,,,34.327153386083545,33.518486226317876,,,1.3976515363745772,2.9858843287603523,4482.535070032353,4073.6988402276797,4415.612164264225,4139.370969418617,1456.422338852954,283.81925080707657,3197.4907398477108,44.85982860568271,1996.9726880833123,531.1164820330027,2131.9068661684664,117.45583628077443,252.6092184340076
2008,,1.6554976731807747,,,,,,48.984941403240114,1.8932908962779358,,101.31575829619163,27.513832752585316,9.789998862281674,,5.179704428699219,16.900506572741445,,21.093014438658553,58.231868072579346,,2.0453016137350915,,,,,3.483451219343244,115.8827251737358,,1.9818308313868906,14.604099444250316,0.707906378471889,,2.2738362369662313,160.1206507233822,,,,,21.209166314207398,1703.6959025441295,21.571583171256524,,,,3.5533687333295303,2.4400028177244564,8.377833472209737,,,3.297681838970612,34.41844673861943,,,18.568215320160846,,,6.940131315797091,10.66181671988805,51.30378712542368,2.5367200194297577,,,4.680531713700611,2.796899601094362,,,,,23.83598966503264,150.81733250967943,,,,,2.424947925737192,279.96118668588286,4.127599600611187,,27.735429507047737,,,,4.359525801390805,0.597,,,,2.8883660480315174,27.75919903077548,22.485821402167065,,399.21105259130826,111.42103606741865,,17.256546706792165,150.13543910682438,22.89100514889331,169.89906831385213,2.8627164406097565,406.48122395169725,7.834928523493264,47.26174585560084,4.2881489026147195,,20.58168256674141,2.272789531630978,0.7095513839530125,4.45039504018667,,,,,,6.703496846148776,6.7583430670526425,,,1.0948433653667833,0.6978864809864229,49.96641532378765,,,1.5480119529736944,,,,1.4283768595238815,136.671265845625,3.5679994450238763,,,16.779327791804988,2.3276256418202914,,2.1673391157767026,,1.5241736269825614,50.92671077746331,,11.488291211454962,1.5677440923220858,,23.959080547086383,,14.025977462547484,,11.243065860811448,46.52853292958829,,1.6992125114775256,,2.079696323809349,13.222973679248716,27.777074302339752,3.1893909774396096,87.2187258328503,20.417980862928992,12.528536580467657,1.943179898852533,170.72764880575116,,,,,30.428173294557496,376.744233402577,0.148,,,,,,110.10694874287664,1.9163021278411418,,,,32.00849541709569,14.355620700091771,6.045696315721825,,,90.83864585198398,112.59679360900262,5.637001539638015,,,,,,23.916498031340964,32.024828863174534,,75.8505187573985,,67.89153925689365,,1.1357654954327627,,3.269000958183953,6.505728102070875,101.03519181048418,,,1.446591942509533,74.67445866334442,70.14789487085291,194.95941169317013,2.9866020696204587,1746.8054442961013,3.0187336332360277,,,38.9166712126809,37.45154656628208,,,1.920996808719626,2.553185523512258,4342.000515485422,4305.09399285828,4277.396503007231,4368.542405096593,1422.0097421670193,299.239725770537,3325.4980449078917,47.16821678349396,1969.7293226072977,564.1165222160037,2044.3459216930482,116.86869373152582,280.11809443577954
2009,,1.6962584246314347,,,,,,45.913133744803964,1.6630681294552216,,107.2985817497562,25.305078545532233,8.833774493015648,,5.40146164040234,18.256292558767413,,15.117996399229268,49.548604088503,,1.9480244858610132,,,,,1.5975389549601005,106.44687883780826,,1.5208449681652365,12.039870842517816,0.7930541732736069,,2.2918674010996263,153.42515271415914,,,,,17.841201391436474,1935.4885728556908,21.444799724755516,,,,2.9793840774887954,2.1551461848675664,7.291817034641825,,,3.5443300141811824,30.071472202959395,,,17.265087760521045,,,6.228277948318974,11.04765603552959,55.17265674443414,2.232525786429535,,,3.9914050676968875,3.130920259972107,,,,,20.141103937194796,141.988284612455,,,,,2.0674920892827746,257.18652921292886,3.5217881858975257,,30.61609198349432,,,,4.142481575099753,0.616,,,,2.62721273973776,24.50879943146234,18.715875540008458,,453.06486165141376,120.67970471857771,,14.062302858988884,150.56703549270384,21.04741269655864,150.14232257746772,2.0615635359179563,373.4245520199158,8.409558218791057,43.770613323228396,5.171327979769293,,20.06305250548813,3.6717680054439676,0.8385682181858898,3.5576580784012135,,,,,,5.64561266060466,6.968854867497982,,,1.0176065912000027,0.7679143334404942,46.78527084381943,,,1.4849104062135663,,,,1.371615119731444,129.31671091607092,3.80221642494475,,,16.10580696117959,2.6720938415401223,,1.2243364391401557,,2.1143450394327834,49.31754073580828,,10.051076920388946,1.5517778496592227,,22.40611449425108,,13.513606082842788,,12.200808918704693,45.76703474387978,,4.479307168618471,,1.858133801199297,14.34225274002834,26.334315897746627,3.623899894782179,82.82377730374783,18.46487241845686,15.066637987714849,2.289362441619893,152.41508520096298,,,,,24.261252880236835,357.1530548755757,0.157,,,,,,121.65230931482057,1.6018041271614625,,,,27.674054896430373,12.816744805843761,5.411087351896797,,,96.47818017258692,96.79259287373284,5.493263860841562,,,,,,20.38472401490505,29.94127372994733,,68.8612315379695,,66.82515503811138,,1.2255913004077086,,6.703461111412876,6.409827276244662,91.1609556479377,,,1.5964375462116462,63.50505637769318,55.81762844173458,179.83346063271705,2.9656417263125774,1600.899719848556,2.7847442337106947,,,48.120430354427405,41.442231978564806,,,1.6882938308887727,2.7496365127163593,3994.744476008567,4557.420222418605,3932.1831423108893,4619.0931793153095,1289.6732653091542,314.4687450310697,3546.7402404090813,50.665717108209485,1794.801071563763,564.5698164350144,1884.0994448983292,122.02458294954982,274.77858064659114
2010,,1.650885672359282,,,,,,49.64797364595072,1.5600467656934107,,106.51557098688973,26.749256331568173,8.477537517079169,,5.780436919639077,20.97360683102664,,16.99030403246124,53.65329811893229,,2.0099519907800336,,,,,1.691948631010088,127.94062295896468,,1.5659940839584268,11.511302237563195,0.7879819391518598,,2.7881911372885497,163.2680472316005,,,,,20.348353000064126,2031.5886260337234,23.256714922629904,,,,3.230202942097485,2.2289533857710935,6.890255779700154,,,3.576407174845071,32.14530473257732,,,17.45250769122907,,,6.79156052786513,12.185618091908033,55.85776179020762,2.292529778387523,,,4.640604997747946,2.749145634623113,,,,,23.165148169234712,142.85197381254122,,,,,2.138402196550917,270.6784004190251,4.009893878996008,,26.88537215697451,,,,4.29590923549289,0.7100000000000001,,,,2.697496415905746,26.384328114729758,19.244347103596738,,447.2812271623192,119.40271845886461,,13.19846343086597,156.86201423012625,22.896982553452396,158.0082118216337,2.0747557419046685,391.30926521062383,7.723865740047195,40.551607805677676,4.9886485630916315,,20.692588387314856,3.3893662782178566,0.9916483500595702,3.5771209696477713,,,,,,5.728107813535239,6.707609685609347,,,0.9359978855642749,0.8229179687217686,52.681100541263696,,,1.4008935133647857,,,,1.3633062616622718,131.54426705406473,6.485505016079762,,,16.806772378411317,2.4954715156403164,,1.1767816011657355,,2.688668220506121,50.70458101852939,,10.25244049767972,1.641537749332958,,22.174310238376158,,14.121465575621245,,12.03766706122428,46.29636955999676,,6.612247072665163,,2.319566843724312,16.812023247850664,29.21882099967706,3.7967128173483182,87.8634599848999,17.861392225943668,14.91115055548174,2.3230745907792163,172.35884956861685,,,,,23.951342996467524,376.4050670193208,0.16099999999999998,,,,,,134.21195039923634,2.1894320371086806,,,,31.355226648608085,13.497242523074263,5.714068793790841,,,92.02182949679879,94.90572594077676,5.874826279501613,,,,,,23.540326741502533,29.785011324949743,,78.35192088432275,,74.54973028601687,,1.315839584336922,,5.8823744575383055,6.983899483056071,101.50084180839464,,,1.725111365424548,66.75740130820003,55.33308923506736,187.2963897835169,3.2810897693680308,1657.9006024126813,2.817870149906339,,,45.472460898977616,45.02244975525417,,,1.6093492725829979,2.7786824066255686,4145.698664007691,4772.601578437492,4098.565382708209,4818.772882577335,1333.3991159686939,309.6073207129514,3713.2534350116707,54.838389526512756,1862.459289152635,597.6353184734911,1953.3196235039777,121.07327890763003,306.0987717225768
2011,,1.7111384609737175,,,,,,51.449628017561004,1.627585653640963,,108.24268131296608,27.529298985294634,9.253625895027506,,5.150134281837453,22.550702811448456,,14.819651865203118,56.771769633819375,,2.4968677617868713,,,,,1.5450340115248007,134.7566152080462,,1.8598354679769917,12.289198796911476,0.7678543482013925,,3.1059030810059927,152.9721328477454,,,,,22.698125636168477,2243.140082371997,23.88389166741423,,,,3.5987241944588706,2.1934413323862514,7.441121607339931,,,3.1506233707651536,31.52767304087676,,,16.907096827850744,,,6.8319509046473215,12.81381880063654,58.90673364392357,2.4773134511209323,,,5.214327740647216,2.928843697401176,,,,,21.34484270350108,148.05279787087423,,,,,2.4626902957428882,270.2402174502967,4.476280757429534,,23.857495125084835,,,,4.5997851528050395,0.7580000000000001,,,,2.802031134537757,22.4067838807147,19.094215317950347,,472.61056178094026,154.5456813582173,,12.739895206040101,159.19082154306645,23.237060357467474,157.67348313803146,2.3419056969066445,413.27994153456336,7.986915885499511,37.70687697314792,5.502444157178642,,20.344801861481894,3.690606739440884,1.2083866025166219,3.578951063267858,,,,,,6.726969448140261,2.8400137658689593,,,0.986945115965604,0.727509954066524,54.81860962937421,,,1.5709392024434037,,,,1.4899728596261599,134.84418337251088,7.748618191817872,,,17.52734096490635,2.9087859912706695,,1.1293050630074573,,2.8825206549903166,46.617734508141396,,10.593643881959744,1.735101791265451,,22.256343295134126,,14.10313145064059,,12.43116452260748,46.542494278192414,,4.3771166657372005,,2.3211601226185965,15.295489779296979,29.916926601945242,4.115045724167493,88.75190420927862,17.057657331151084,14.20212877231833,2.2529008728842657,177.76730108824492,,,,,24.709967473259596,389.39029007249076,0.18099999999999997,,,,,,127.93663180701783,2.387285845972268,,,,30.724805075827874,13.76490761328748,6.200863690945203,,,90.92468848447173,92.70430842247701,7.11649839284004,,,,,,22.641163994254857,33.07543192920104,,76.10175802888229,,77.6641638398632,,1.2508602087233696,,5.231822020178775,6.727835733698489,105.13343887002742,,,1.7995964475981938,71.77790475727389,58.77570645828125,172.7632085092183,3.869803856134438,1638.7755058584248,3.2203026473974647,,,43.77286744782649,47.541350105521474,,,2.0164043236595557,3.5235895146264835,4142.169297889841,5071.988652489873,4089.0174532248107,5124.222946384138,1313.762646047018,312.40901062812236,4019.961898299862,52.19085846372158,1860.1491837874555,602.3632495089511,1927.2979564448976,123.99065745679017,315.795135789915
2012,,1.5983672289182913,,,,,,52.55292432834227,1.795459783108454,,113.41604035923942,26.028372737414408,10.101194565719764,,4.94919307628044,23.29054478443528,,18.606333788999727,50.887917535419476,,2.2126974819980596,,,,,1.663139610837899,141.4687874250304,,2.046043550742239,11.864618039692777,0.8228554209277859,,3.0514248391343917,164.1844847831047,,,,,24.53547839535202,2325.871050526284,25.145857855616033,,,,3.690476717284874,2.73567322296683,6.088057987429121,,,2.602196698460644,28.848932141395917,,,15.281020296195276,,,7.177410327969309,13.233702838602193,61.9126091363579,2.553955553577634,,,4.8802997156654895,3.856812328989487,,,,,20.383818442425092,132.7747564264103,,,,,2.793026923763618,255.34413698381596,5.207308793861597,,22.10928176930642,,,,4.787168891997255,0.7040000000000001,,,,3.183811398737284,31.505371991229865,17.627998447405727,,512.1002920058833,166.00606232230948,,12.282906289151674,163.4916871099616,24.836698408461917,140.78888972796048,2.3549335822215185,421.55550592557825,7.880605776619285,45.36633498949752,5.436646201861875,,20.991939271299188,4.472764158431009,1.4527825177406593,3.6777024896301973,,,,,,6.239872808529642,6.64011320697551,,,1.1131355164699304,0.6140482557023108,58.58043437944517,,,1.8811004912605098,,,,1.4363576553788149,143.9808017964966,9.130315865594262,,,18.563463888810922,3.095781949671288,,1.4712951083728683,,2.8776538642562084,44.79281567087183,,10.853517511227885,1.7902829966744818,,20.35071936261486,,13.806284925411747,,14.97547448785838,47.492147627503954,,6.981748936653219,,2.3918592365797378,17.218197595152887,32.03751902301221,4.524371520465679,86.66603570765837,15.60141405793912,16.942689883319666,2.5236032532319053,172.76782581951778,,,,,23.481164979231888,402.3594674199122,0.20099999999999996,,,,,,142.33954405425314,2.4678477002425465,,,,34.4502255488511,12.75726398674052,5.308658633611485,,,92.97711462354549,86.60377750457535,7.517497530795799,,,,,,21.457592596421446,31.323838016880384,,74.99244902716251,,82.68651365563765,,2.1938458981686484,,6.023421466457203,6.605430380444828,109.17755107314883,,,1.8424230734311278,71.36630713166363,59.55255846335065,176.01648459997278,4.435408694334366,1573.8080553592447,3.744898989117713,,,51.367711714456284,47.14753062850236,,,1.8914438123812045,3.962612119421277,4038.0386109135015,5321.890225104952,3987.328568850997,5371.6690604680625,1238.9171999715672,325.0108586645209,4196.476062797046,56.75766845135611,1801.694291509779,630.61639025744,1882.4328895377673,129.25735127490702,337.66661447653
